instnm,State abbreviation (HD2020),Percent admitted - total (DRVADM2020),Graduation rate  total cohort (DRVGR2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Core revenues  total dollars (GASB) (DRVF2020),Student service expenses as a percent of total core expenses (GASB) (DRVF2020),Student-to-faculty ratio (EF2020D),Full-time fall 2019 cohort (EF2020D),Percent of full-time first-time undergraduates awarded any financial aid (SFA1920),Percent of full-time first-time undergraduates awarded Pell grants (SFA1920),Published in-state tuition and fees 2020-21 (IC2020_AY),Published out-of-state tuition and fees 2020-21 (IC2020_AY),Admission test scores (ADM2020),ACT Composite 75th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),Total men (EF2020  All students total),Total women (EF2020  All students total),Total  enrollment (DRVEF2020)
University of Virginia-Main Campus,VA,23,94,93,95,2030942844,4,15,3920,60,13,18960,52843,1,34,740,770,11581,14047,25628
University of Michigan-Ann Arbor,MI,26,93,93,94,3787936000,4,11,6814,66,20,15948,52266,5,34,740,780,23820,24087,47907
Virginia Military Institute,VA,60,85,87,79,115542557,12,11,447,94,16,19210,47220,1,28,640,620,1478,220,1698
William & Mary,VA,42,91,88,94,417236468,5,11,1527,54,10,23628,46854,5,34,740,750,3839,5100,8939
University of California-San Diego,CA,37,87,85,89,3683507000,4,19,6011,60,32,14648,44402,1,34,710,770,20323,19253,39576
University of California-Davis,CA,46,86,83,88,3040725000,6,20,5896,74,33,14597,44351,1,33,670,730,15647,23427,39074
University of California-Santa Barbara,CA,37,84,82,85,1134558000,10,18,4928,60,29,14406,44160,1,34,710,750,11999,14180,26179
University of California-Berkeley,CA,17,92,91,94,2961878000,10,19,6422,63,21,14312,44066,1,35,740,790,20321,22006,42327
University of Vermont,VT,71,76,70,81,675264000,8,16,2626,96,13,19062,43950,5,31,680,670,5219,8073,13292
University of California-Merced,CA,85,69,66,72,574071000,10,19,2101,93,65,14100,43854,1,24,570,570,4312,4706,9018
University of California-Santa Cruz,CA,65,76,71,79,936151000,15,25,3700,67,27,14025,43779,1,33,670,690,10132,9029,19161
University of California-Riverside,CA,66,77,74,80,1138264000,11,22,4743,91,47,14024,43778,1,31,630,650,12493,13941,26434
University of California-Irvine,CA,30,85,82,88,2166121000,4,18,6053,74,38,13753,43507,1,33,680,750,17387,18916,36303
University of Connecticut,CT,56,83,80,86,1588183718,3,16,3567,77,21,17834,40502,1,32,680,710,12953,14262,27215
The University of Texas at Austin,TX,32,88,85,90,3861217019,2,17,8007,66,23,11448,40032,1,33,720,750,22994,27482,50476
Colorado School of Mines,CO,55,84,83,88,297415350,9,17,1279,90,13,19100,39800,5,33,700,740,4664,2080,6744
Michigan State University,MI,76,81,78,84,2455443605,3,16,8638,71,22,14460,39766,1,29,640,660,23550,26145,49695
Texas A & M University-College Station,TX,63,83,79,86,3816921872,3,19,9618,81,23,12783,39340,1,32,680,700,37319,33099,70418
University of Oregon,OR,84,74,70,77,1196169983,7,18,4463,89,24,13857,39309,5,29,650,640,9782,11970,21752
University of Washington-Tacoma Campus,WA,86,60,59,61,85486879,2,14,612,84,42,11889,39258,1,24,600,580,2495,2869,5364
